,support,itemsets
63,0.030424415832141154,"frozenset({'HL Mountain Tire', 'Mountain Tire Tube'})"
61,0.030360832935940232,"frozenset({'Sport-100 Helmet, Red', 'AWC Logo Cap'})"
50,0.029725003973931012,frozenset({'Touring Tire'})
17,0.029438880941026865,frozenset({'ML Road Tire'})
66,0.02877126053091718,"frozenset({'Sport-100 Helmet, Blue', 'Long-Sleeve Logo Jersey, L'})"
46,0.028739469082816722,"frozenset({'Short-Sleeve Classic Jersey, XL'})"
8,0.028071848672707043,"frozenset({'Half-Finger Gloves, S'})"
65,0.027976474328405658,"frozenset({'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L'})"
11,0.02740422826259736,frozenset({'LL Mountain Tire'})
5,0.027277062470195516,frozenset({'HL Road Tire'})
76,0.02695914798919091,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black'})"
67,0.026577650611985377,"frozenset({'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, L'})"
85,0.02638690192338261,"frozenset({'Sport-100 Helmet, Blue', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
84,0.026037195994277538,"frozenset({'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
82,0.02568749006517247,"frozenset({'Touring Tire Tube', 'Touring Tire'})"
96,0.02565569861707201,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L'})"
44,0.025592115720871087,"frozenset({'Short-Sleeve Classic Jersey, L'})"
90,0.025560324272770624,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'AWC Logo Cap'})"
9,0.025305992687966936,frozenset({'Hitch Rack - 4-Bike'})
79,0.025210618343665555,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red'})"
77,0.025178826895565092,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black'})"
74,0.024956286758861867,"frozenset({'Patch Kit/8 Patches', 'Mountain Tire Tube'})"
106,0.024829120966460023,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
72,0.024670163725957716,"frozenset({'ML Mountain Tire', 'Mountain Tire Tube'})"
102,0.024320457796852647,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black'})"
98,0.024320457796852647,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, L'})"
97,0.024256874900651725,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L'})"
86,0.024225083452551265,"frozenset({'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
91,0.02406612621204896,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap'})"
92,0.024002543315848036,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'AWC Logo Cap'})"
57,0.023557463042441582,"frozenset({'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
115,0.023557463042441582,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L'})"
107,0.023430297250039738,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
108,0.023366714353838816,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
111,0.023334922905738357,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap'})"
69,0.02317596566523605,"frozenset({'Sport-100 Helmet, Blue', 'Long-Sleeve Logo Jersey, M'})"
32,0.023048799872834206,"frozenset({'Road-550-W Yellow, 38'})"
35,0.022985216976633284,"frozenset({'Road-550-W Yellow, 48'})"
68,0.02279446828803052,"frozenset({'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, M'})"
45,0.02279446828803052,"frozenset({'Short-Sleeve Classic Jersey, S'})"
117,0.02276267683993006,"frozenset({'Sport-100 Helmet, Blue', 'Long-Sleeve Logo Jersey, L', 'AWC Logo Cap', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black'})"
78,0.022699093943729137,"frozenset({'Sport-100 Helmet, Black', 'Water Bottle - 30 oz.'})"
30,0.022635511047528215,"frozenset({'Road-250 Black, 48'})"
70,0.022603719599427755,"frozenset({'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, M'})"
53,0.02247655380702591,"frozenset({""Women's Mountain Shorts, L""})"
29,0.02241297091082499,"frozenset({'Road-250 Black, 44'})"
80,0.02241297091082499,"frozenset({'Sport-100 Helmet, Blue', 'Water Bottle - 30 oz.'})"
81,0.022285805118423145,"frozenset({'Sport-100 Helmet, Red', 'Water Bottle - 30 oz.'})"
36,0.022254013670322682,"frozenset({'Road-650 Black, 52'})"
43,0.02212684787792084,"frozenset({'Road-750 Black, 52'})"
33,0.02184072484501669,"frozenset({'Road-550-W Yellow, 40'})"
42,0.02177714194881577,"frozenset({'Road-750 Black, 48'})"
38,0.021745350500715306,"frozenset({'Road-650 Red, 44'})"
2,0.021681767604514384,"frozenset({'Classic Vest, S'})"
54,0.021649976156413925,"frozenset({""Women's Mountain Shorts, M""})"
40,0.02149101891591162,"frozenset({'Road-650 Red, 60'})"
6,0.021395644571610237,"frozenset({'Half-Finger Gloves, L'})"
64,0.021363853123509777,"frozenset({'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
31,0.02120489588300747,"frozenset({'Road-250 Black, 52'})"
87,0.020950564298203782,"frozenset({'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
88,0.020918772850103323,"frozenset({'Sport-100 Helmet, Blue', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
89,0.02079160705770148,"frozenset({'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
93,0.020759815609601016,"frozenset({'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
100,0.020759815609601016,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, M'})"
99,0.020728024161500557,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, M'})"
83,0.020728024161500557,"frozenset({'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
101,0.020728024161500557,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, M'})"
94,0.020696232713400094,"frozenset({'Sport-100 Helmet, Blue', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
95,0.020696232713400094,"frozenset({'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
55,0.020600858369098713,"frozenset({""Women's Mountain Shorts, S""})"
34,0.020600858369098713,"frozenset({'Road-550-W Yellow, 42'})"
39,0.02056906692099825,"frozenset({'Road-650 Red, 48'})"
58,0.02047369257669687,"frozenset({'Long-Sleeve Logo Jersey, XL', 'AWC Logo Cap'})"
37,0.02025115243999364,"frozenset({'Road-650 Black, 58'})"
103,0.02021936099189318,"frozenset({'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
112,0.02015577809569226,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
41,0.020123986647591796,"frozenset({'Road-650 Red, 62'})"
110,0.020123986647591796,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
113,0.020123986647591796,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
109,0.020092195199491337,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
104,0.020060403751390878,"frozenset({'Sport-100 Helmet, Blue', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
105,0.020060403751390878,"frozenset({'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
114,0.020060403751390878,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
116,0.020060403751390878,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, M'})"
71,0.020028612303290415,"frozenset({'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, XL'})"
